part_num,part_name,part_cat_id
25868,7449,16
19481,18804,0
16913,6687,0
9236,11882,0
20778,19219,0
7121,9760,6
22293,20493,0
9123,12264,16
13822,25194,16
22005,2361,16
22555,25068,16
17140,9098,16
11895,4142,43
17887,23472,12
20790,4869,26
15900,11553,26
18320,13271,26
20319,3611,26
153,18065,26
5539,22305,26
5091,21295,26
4568,528,26
9812,7540,26
19000,814,26
10350,11717,26
15646,12771,26
19205,1920,23
24226,4599,26
19169,21707,12
20545,12380,12
3705,13794,12
7225,13531,12
5295,7718,12
4264,12901,12
16722,10437,12
114,10024,12
6202,5316,12
19641,4226,23
25628,22408,12
11616,22205,12
24265,19883,12
11520,4937,16
13880,16410,3
5705,13136,56
22119,17102,12
21622,4658,26
9152,24689,26
335,828,3
12902,25368,12
10378,19704,12
1724,9950,12
275,1130,12
18168,5876,16
11865,11471,16
10442,16627,16
788,15437,23
12318,2088,12
6966,18579,12
802,22886,16
17978,11332,16
10175,19910,16
15773,1954,12
23729,3082,12
6236,15543,16
17415,23749,23
8519,5060,26
4421,24349,26
5023,10020,26
23346,20320,26
1849,17632,26
20567,13373,26
19824,17072,26
25820,1266,26
22610,15079,26
23899,14393,26
11981,17467,12
21840,18094,32
16257,876,32
16653,2190,32
21966,6780,32
1781,21786,32
9322,18850,32
24181,13205,32
1641,519,32
15436,2742,32
23856,13243,16
14388,25121,26
6310,11095,26
20351,13310,16
14713,20885,16
5623,17774,26
5284,18713,16
16068,19567,3
4558,17318,11
16323,24394,3
24095,12243,8
21113,16004,18
5433,8308,16
12779,20165,16
8322,24651,16
218,18061,16
8527,12788,16
24458,24492,16
23970,2195,3
754,14026,12
15732,17788,16
19929,6618,16
15184,4823,16
24896,24733,16
25579,25381,16
8746,8773,16
21577,2381,8
16580,2097,16
17755,4543,26
17894,12868,16
4107,1145,11
12659,12937,23
15689,16828,12
13495,4985,12
25521,22402,12
9202,20060,23
13755,8351,12
290,4135,12
16882,24779,23
9145,22706,6
4834,4939,6
10657,7099,26
1194,4831,26
14298,5932,16
16100,13358,16
1953,25305,16
17911,9092,16
6427,6961,16
22194,22258,16
21488,8340,16
19918,8094,16
16916,12769,16
12256,12352,16
24983,22927,16
14317,11664,16
20699,7309,16
12733,561,16
10723,19885,16
1117,13159,16
23302,18572,16
6347,21503,16
12585,10529,16
7930,19392,16
23429,4353,46
23506,12340,46
4544,285,46
13773,12340,46
5884,21834,36
19215,10136,16
21046,22086,16
9226,1850,16
1424,22174,16
11294,13715,16
10667,10221,16
6617,16236,16
16289,4139,16
21319,25146,16
10051,6009,16
3745,12754,16
2904,20394,16
9748,15010,16
8219,15176,16
6325,11818,16
25036,366,16
11521,9084,16
14277,6463,16
22987,14224,16
17383,6060,16
3524,2492,12
23260,13742,12
6986,9635,31
10474,13003,3
23494,10023,27
23430,17104,27
5050,14199,27
10483,18005,27
12118,5176,27
22915,18856,27
11388,24643,16
11929,423,26
10802,6560,3
22326,14709,16
16658,13793,16
17848,21537,16
11932,23880,16
13103,6340,3
5723,22177,3
4344,2848,12
13775,2365,12
4483,18364,12
3122,13079,12
929,25563,12
19204,3188,26
3242,5363,37
19823,15363,37
20497,10680,23
6673,23944,26
12371,6623,16
18810,11671,26
5487,8678,27
23167,9601,3
7366,20325,24
15429,7088,26
7962,9278,26
21315,10167,23
20416,19862,26
12482,19811,26
21355,8514,26
16234,25526,26
13101,4283,26
24158,17419,26
6208,15641,26
3053,17959,26
24804,3986,26
12878,8487,26
3969,1553,26
1871,14182,16
24235,5877,16
8387,11139,16
5044,19948,16
10963,24225,16
3002,9916,44
1822,19016,51
6593,9070,16
5053,14714,16
1967,6336,16
18646,19977,16
718,21705,16
43,2568,0
15524,3887,0
4729,11080,0
9914,17832,0
3952,16924,0
24791,4144,0
17055,23775,0
7821,8611,0
2131,13279,0
9425,16341,0
20427,469,0
1314,8775,0
25356,2273,8
14356,9376,26
12864,2557,37
11444,15080,37
18727,6703,37
10465,16279,37
4311,3645,37
2572,23688,37
22848,17881,37
1493,15274,37
23559,15069,37
25720,22020,37
2080,12307,37
20888,11396,37
9369,12184,31
4028,18502,27
15283,4530,31
3138,21405,27
3732,5500,26
3307,15073,28
8715,18969,26
10865,14568,26
5039,13252,26
10631,20462,26
20938,655,23
336,12392,12
18941,1405,12
24314,11905,26
6447,7802,26
18633,5169,26
16948,22708,35
9314,11345,35
18954,1700,35
5533,7308,35
7911,19081,35
20726,994,35
8997,17320,35
24786,19825,35
6689,25329,35
13043,25124,35
23109,16441,35
25074,855,35
6739,8908,35
21946,5224,35
9126,23478,35
24296,17588,35
25543,20948,35
9705,19385,35
24010,24734,35
739,10935,35
8362,3560,35
13315,14833,35
13767,17146,35
13117,12291,35
5442,22274,35
25141,11468,35
61,699,55
999,1535,32
653,3631,23
23389,5484,26
16417,3204,12
8416,4296,26
15235,20209,26
14607,19732,26
10406,3975,26
5414,10220,26
5124,11262,26
3646,18097,3
4907,12176,3
17127,9772,44
6000,6626,36
23186,23352,36
22907,23049,1
19486,3236,26
8561,2005,40
17900,514,40
14994,21490,40
8161,283,3
11046,16471,3
25276,17492,26
8575,6484,3
18333,162,3
19808,2253,23
20939,13377,14
13387,2066,9
18490,14890,14
23877,12468,14
16360,23919,14
13837,9159,14
7569,19827,14
25400,16109,14
17592,5626,14
15180,23524,14
24754,1849,14
1286,15096,9
6166,19802,14
1241,20551,28
19155,16011,28
13352,20401,4
20556,9176,13
6740,12735,20
16207,19849,52
13153,8046,8
18627,3548,15
22991,6936,23
22035,19689,26
7359,23243,12
17242,13029,12
18011,16210,26
17614,6400,26
2959,11593,26
8421,20014,12
13697,23576,26
19856,22693,26
9011,9712,26
1184,15755,26
1928,22256,26
1698,12617,23
18066,1077,26
11828,19058,26
2757,2164,26
9887,4262,26
14189,11480,26
13723,9863,26
1381,4768,26
14101,7070,23
11267,22952,27
7361,17732,27
2958,22952,27
22573,13401,26
13691,24735,26
17388,17760,26
14400,19507,3
11876,22390,3
8551,18265,26
19197,22263,26
24500,4756,26
10643,23970,23
17580,553,26
9492,4857,26
21862,15846,12
21562,10215,12
13872,9375,23
22647,1173,26
3895,6860,26
20181,12308,26
1632,21336,23
2294,25261,26
17023,19229,26
1050,20566,26
14363,22473,26
24141,11091,26
8021,14320,26
7312,18116,12
5097,8381,23
2590,18750,26
6711,13885,12
15552,15123,26
4426,5700,12
7536,18110,26
6918,16009,26
25965,5432,26
4909,11787,26
23179,10465,4
20376,166,40
20412,8333,40
11159,12383,40
20138,15439,40
461,1305,40
19081,15819,40
25458,2489,40
19594,4217,11
4740,20022,40
3009,6540,40
12424,402,40
13611,24693,40
2479,12297,40
7295,25032,40
25722,6383,40
9549,8552,40
13386,12262,40
9263,825,40
10303,17422,40
12294,20136,40
3196,22033,46
24995,22342,36
18641,9641,5
9689,19468,46
2077,19526,40
3140,15888,46
12407,8538,40
3017,16021,15
19629,11723,40
1804,621,31
9880,23067,36
3570,10247,40
13709,14339,40
23750,7444,40
24922,16155,40
13903,7674,40
25241,8132,26
977,14924,40
694,16330,40
8379,13703,27
11205,20407,27
15941,18079,23
10411,12500,26
5229,6770,40
1668,4198,3
20982,25449,40
7878,13612,40
18968,18978,27
23297,13206,27
1577,20795,27
17335,2697,3
1976,5621,3
25191,24019,3
25717,16675,15
14116,6027,40
16936,9255,40
9234,21924,40
3650,4693,16
5808,10947,3
10167,9362,3
12939,21667,3
1267,2897,3
6765,2897,3
5357,18977,8
19986,4732,26
13446,171,23
9950,9763,12
21417,8948,12
18314,2017,12
22063,18582,12
1933,18648,12
17,19435,12
3821,23368,12
1097,101,12
7068,10083,12
23427,11493,12
17828,24899,12
19953,18892,12
17725,21508,12
10660,14372,12
18797,12326,12
23040,22284,12
19723,22785,12
8117,18550,12
19517,900,12
6238,8465,23
5109,7273,12
23013,22506,12
1413,3020,12
7807,4009,12
13679,10936,12
21044,45,12
16851,23564,12
16797,5865,12
7563,6876,12
8773,16402,12
6570,7634,12
25320,4117,12
16939,14310,12
5892,15076,12
515,16292,12
1683,4490,12
22110,21522,12
5915,2461,12
19329,4635,12
22131,16192,12
11982,6653,12
9370,7765,12
21435,4183,26
14246,13376,12
9855,4183,23
5772,5155,26
26009,6661,26
3702,17791,26
8910,18119,26
20236,4472,26
20542,4854,23
5580,25433,27
7924,17780,27
3710,12110,27
7377,1751,23
755,24317,27
16690,23559,27
20757,1922,26
6265,2083,26
2032,14237,26
24562,18971,26
