set_num,set_name,year,theme_id,num_parts
2470,4021,52,499,13
11397,4285,49,354,8
3132,2807,49,354,8
1981,3016,49,354,8
4281,7636,17,242,13
8974,2263,49,354,8
8766,9780,49,354,8
9563,4755,49,354,8
2188,9316,17,242,13
1978,1509,27,389,135
8929,9892,17,468,96
2140,8435,30,451,24
8521,8318,49,272,35
7897,1707,49,134,29
7829,2655,49,134,109
3597,9885,49,134,24
1149,3027,49,134,30
6781,1995,49,355,28
2609,1016,51,355,28
1756,9522,49,355,25
4323,7748,49,355,27
4233,4717,49,355,29
10581,7782,49,272,22
8833,9717,49,272,20
2617,6916,49,272,24
155,10170,49,272,25
5994,4434,50,304,23
11484,3527,50,304,109
5422,9302,50,304,109
11672,6426,50,461,24
8101,8462,50,461,20
6702,5738,50,461,19
5602,8002,50,461,19
7946,521,21,432,0
2927,6123,50,461,12
6623,9997,50,461,13
3777,9801,50,328,27
9619,33,50,328,26
1928,7349,50,328,26
11015,5553,50,328,25
5035,7929,50,281,7
4539,8112,50,281,16
3422,4276,50,281,13
8613,9154,25,455,1
1817,7218,51,323,13
2863,7825,22,468,411
9036,4291,24,234,68
9807,7109,40,81,31
11065,2115,40,128,23
7302,3301,40,189,24
8244,9689,40,147,21
2327,9781,35,81,46
1206,2162,35,75,39
1964,1140,34,465,39
5518,5848,35,75,32
413,1718,24,234,112
2242,3211,35,68,358
7923,5483,39,466,69
10359,2054,39,67,128
7027,1892,39,81,39
2616,7083,39,135,31
1054,2302,39,128,34
1478,3545,39,189,33
4372,8024,23,234,291
3037,7164,39,147,24
2109,5696,35,68,215
242,8983,37,84,175
7674,649,36,84,195
10798,3669,24,234,339
4061,2378,40,187,49
802,6070,40,147,27
6517,2025,36,466,26
2572,4139,35,81,52
1146,10225,35,81,124
1639,1977,35,129,63
4934,1350,35,129,89
8407,2058,14,242,25
6375,1135,34,66,2
434,8826,34,129,2
10233,1135,35,81,2
1686,9274,32,446,38
1899,8826,35,129,2
2310,6324,14,242,25
4134,364,20,516,250
3658,4977,33,466,103
6854,5972,20,516,824
6301,6218,37,466,79
1851,2025,36,466,46
7507,1135,37,81,2
7811,10294,35,389,109
11257,2191,37,81,32
2862,2637,37,81,85
9200,2800,21,432,157
1836,4977,33,466,215
10243,1613,38,66,2
4681,3505,14,234,22
10753,2025,37,466,24
5444,2025,37,466,44
7462,5510,34,466,27
9838,5510,34,466,38
4338,8079,34,69,153
641,7623,34,129,105
6041,3989,34,81,29
14,7849,14,234,15
8808,6756,15,242,4
3130,41,36,504,57
5093,7696,40,228,29
6244,7440,33,465,31
4414,2861,41,187,59
4409,1659,40,470,173
10949,9636,40,226,62
3781,9052,20,411,49
4729,185,15,242,17
8508,1267,33,228,6
103,7044,20,411,49
6608,7637,33,69,376
1330,4319,22,411,45
6221,4243,34,470,175
8284,225,34,226,19
7521,1923,26,411,44
8665,9108,34,226,10
8692,4520,34,129,26
5833,7805,34,129,68
11618,2725,38,67,26
7686,6634,24,411,44
10972,9745,33,466,27
7697,3215,16,242,6
7591,6100,38,67,30
1085,8519,24,363,60
11477,2058,24,242,25
