inventory_id,set_num,inventory_set_quantity
19,2488,0
19,9959,0
23,7250,0
23,3064,0
29,1491,0
29,5764,1
29,3952,0
45,10119,0
45,4996,0
45,9925,0
45,4400,0
45,7409,0
45,686,0
45,9551,0
50,3760,0
50,1984,0
55,5563,0
55,6706,0
55,1637,0
55,5757,0
55,5532,0
55,11141,0
69,1572,0
69,812,0
80,5366,0
80,3559,0
80,445,0
86,950,0
86,11232,0
86,136,0
170,1362,0
177,5417,0
177,2163,0
177,9620,0
177,7266,0
177,4521,0
177,1044,0
177,2263,0
177,9831,0
177,4573,0
177,8645,0
177,2219,0
177,930,0
177,3223,0
177,498,0
177,1110,0
177,10297,0
177,9553,0
177,5141,0
177,9011,0
177,7280,0
177,3671,0
177,2474,0
177,8319,0
177,4742,0
200,2734,0
200,861,0
200,8524,0
200,2244,0
200,3586,0
200,8780,0
200,6405,0
200,10184,0
200,7727,0
200,6074,0
200,1405,0
200,4454,0
200,1735,0
200,8720,0
200,7391,0
200,5582,0
200,4703,0
200,11452,0
200,4402,0
200,3030,0
200,10227,0
200,215,0
200,11280,0
200,10033,0
203,1491,4
203,5764,3
203,3952,2
205,3267,0
205,9479,0
268,32,0
268,6644,0
268,6910,0
268,10155,0
268,8058,0
268,3085,0
268,805,0
268,896,0
268,5872,0
268,375,0
268,294,0
268,1655,0
268,10223,0
268,3128,0
268,11024,0
268,69,0
317,1132,0
317,9767,0
338,8563,0
338,2501,0
338,2512,0
349,593,0
349,9043,0
355,7248,0
355,9219,0
357,3723,0
357,4951,0
357,1925,0
380,1491,0
380,5764,1
392,11226,1
392,11311,0
392,5356,0
392,3733,0
392,4180,0
417,7127,0
417,7165,0
419,5585,0
419,6472,0
419,3440,0
468,8402,0
468,4944,0
468,9531,0
468,5161,0
468,8396,0
477,602,0
477,2184,0
477,9310,0
478,7505,0
478,3904,0
478,9531,0
478,9995,0
478,5161,0
505,6627,0
505,4086,0
505,6431,0
511,1336,0
511,1231,0
511,1693,0
511,10337,0
511,7318,0
511,3346,0
511,6328,0
511,129,0
511,4139,0
511,3765,0
511,9904,0
511,3854,0
511,7031,0
511,7449,0
511,2248,0
511,2097,0
511,500,0
511,8191,0
511,1383,0
511,11100,0
511,7812,0
511,1082,0
511,7219,0
511,1755,0
596,7425,0
596,11212,0
